"商品ID","会員ID／社員記号","管理番号","商品番号","グルーピング","大カテゴリ","中カテゴリ","分類１","分類２","分類３","分類４","分類５","分類６","分類７","分類８","分類９","分類１０","分類１１","分類１２","分類１３","分類１４","分類１５","分類１６","分類１７","分類１８","分類１９","分類２０","商品名","表示商品名","指値","定価","買取方法","買取店舗","買取担当者","買取日","買取価格","買取取引先","出品ステータス","結果ステータス","落札価格","落札日","落札ID","見込価格","出品日","出品場所","目玉ステータス","見込粗利","粗利益率","修繕費","実売粗利","売価予実差異金額","棚（箱）番号","移動先","移動日","移動責任者","移動理由","精算ステータス","精算ステータス変更者","支払ステータス","支払ステータス変更者","配送ステータス","配送ステータス変更者","配送日","一覧-メイン画像","詳細-メイン画像","詳細-メイン拡大画像","登録NO","登録日","更新NO","更新日","サブカテゴリ","スタート値","分類２１","分類２２","分類２３","分類２４","分類２５","ジャンル課見込価格","商品ランク","付属品管理番号１","付属品管理番号２"
"","101","DP005286","0366","","3","アウター","","","","","","","","","","","","","","","","","","","","","イヴサロモン ムートン ムートンコート 36 グレー","イヴサロモン ムートン ムートンコート 36 グレー","","","0.店頭買取","73.NANBOYA阪神梅田駅前店_W","本田 真澄","2019-10-20 00:00:00","11000","","1","","","","","20000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","11000","","",""
"","101","A0066689","0367","","3","ワンピース","","ヴァレンティノ","","","","","","","","","","","","","","","","","","","ヴァレンティノ シルク ワンピース 6 ピンク","ヴァレンティノ シルク ワンピース 6 ピンク","","","0.店頭買取","06.NANBOYA銀座店_E","今野 森羅","2019-10-20 00:00:00","3000","","1","","","","","5000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","5000","Ｂ","",""
"","101","YV009779","0368","","3","トップス","","プラダ","","","","","","","","","","","","","","","","","","","プラダ ウール ベスト 42 ブラウン プリント","プラダ ウール ベスト 42 ブラウン プリント","","","0.店頭買取","33.NANBOYA姫路店_W","木下 知勇","2019-10-19 00:00:00","10000","","1","","","","","15000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","10000","ＡＢ","",""
"","101","YV009777","0369","","3","ボトムス","","プラダ","","","","","","","","","","","","","","","","","","","プラダ ビスコース スカート 40 ブルー 1017年","プラダ ビスコース スカート 40 ブルー 1017年","","","0.店頭買取","33.NANBOYA姫路店_W","木下 知勇","2019-10-19 00:00:00","4000","","1","","","","","6000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","4000","ＡＢ","",""
"","101","IW016523","0370","","3","アウター","","","","","","","","","","","","","","","","","","","","","ヒューストン コットン ミリタリージャケット Ｓ ブラック","ヒューストン コットン ミリタリージャケット Ｓ ブラック","","","0.店頭買取","38.NANBOYA仙台店_E","佐々木 雄大","2019-10-20 00:00:00","2000","","1","","","","","3000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","5000","Ａ","",""
"","101","A0066746","0371","","3","セットアップ","","ポールスミスコレクション","","","","","","","","","","","","","","","","","","","ポールスミス ウール セットアップ ＸＬ ネイビー","ポールスミス ウール セットアップ ＸＬ ネイビー","","","0.店頭買取","73.NANBOYA阪神梅田駅前店_W","河野 友樹","2019-10-20 00:00:00","4000","","1","","","","","6000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","6000","ＡＢ","",""
"","101","BW007581","0372","","3","トップス","","バレンシアガ","","","","","","","","","","","","","","","","","","","バレンシアガ コットン シャツ 39 ブルー ストライプ 2016年","バレンシアガ コットン シャツ 39 ブルー ストライプ 2016年","","","0.店頭買取","31.NANBOYA栄店【名古屋】_W","稲山 裕亮","2019-10-19 00:00:00","11000","","1","","","","","15000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","10000","ＡＢ","",""
"","101","A0066497","0373","","3","アウター","","","","","","","","","","","","","","","","","","","","","コルマー ナイロン ダウンコート 46 ベージュ","コルマー ナイロン ダウンコート 46 ベージュ","","","0.店頭買取","02.NANBOYA梅田店_W","緒方 真希","2019-10-20 00:00:00","500","","1","","","","","1000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","4000","ＡＢ","",""
"","101","A0066287","0374","","3","アウター","","エルメス","","","","","","","","","","","","","","","","","","","エルメス ウール ジャケット 38 レッド グレナン金具","エルメス ウール ジャケット 38 レッド グレナン金具","","","0.店頭買取","06.NANBOYA銀座店_E","原 侑也","2019-10-20 00:00:00","10000","","1","","","","","20000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","30000","ＢＣ","",""
"","101","PH018256","0375","","3","トップス","","","","","","","","","","","","","","","","","","","","","シュプリーム コットン Tシャツ Ｍ グレー マイセン","シュプリーム コットン Tシャツ Ｍ グレー マイセン","","","0.店頭買取","99.BRAND CONCIER銀座店_E","君塚 大","2019-10-20 00:00:00","3000","","1","","","","","4000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","7000","ＡＢ","",""
"","101","XO006628","0376","","3","アウター","","コーチ","","","","","","","","","","","","","","","","","","","コーチ レザー ダウンジャケット Ｍ ブラック","コーチ レザー ダウンジャケット Ｍ ブラック","","","0.店頭買取","32.NANBOYA立川店_E","山? 英吉","2019-10-20 00:00:00","10000","","1","","","","","18000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","18000","ＡＢ","",""
"","101","TW011589","0377","","3","アウター","","タトラス","","","","","","","","","","","","","","","","","","","タトラス ナイロン マウンテンパーカー 03 ネイビー CORNELIO","タトラス ナイロン マウンテンパーカー 03 ネイビー CORNELIO","","","0.店頭買取","69.NANBOYA天満橋京阪シティモール店_W","齋藤 俊宏","2019-10-20 00:00:00","7000","","1","","","","","8000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","10000","Ｂ","",""
"","101","YA010287","0378","","3","ボトムス","","ディースクエアード","","","","","","","","","","","","","","","","","","","ディースクエアード コットン デニムパンツ 44 ブラック Skater jean 2016","ディースクエアード コットン デニムパンツ 44 ブラック Skater jean 2016","","","0.店頭買取","14.NANBOYA心斎橋店_W","谷脇 慎弥","2019-10-21 00:00:00","5450","","1","","","","","8000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","15000","ＡＢ","",""
"","101","YA010292","0379","","3","ボトムス","","ディースクエアード","","","","","","","","","","","","","","","","","","","ディースクエアード ウール パンツ 44 ブラック","ディースクエアード ウール パンツ 44 ブラック","","","0.店頭買取","14.NANBOYA心斎橋店_W","谷脇 慎弥","2019-10-21 00:00:00","2600","","1","","","","","6000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","9000","ＡＢ","",""
"","101","YA010288","0380","","3","ボトムス","","ディースクエアード","","","","","","","","","","","","","","","","","","","ディースクエアード コットン デニムパンツ 44 ブルー Skater jean 2018","ディースクエアード コットン デニムパンツ 44 ブルー Skater jean 2018","","","0.店頭買取","14.NANBOYA心斎橋店_W","谷脇 慎弥","2019-10-21 00:00:00","7500","","1","","","","","10000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","16000","ＡＢ","",""
"","101","YA010290","0381","","3","ボトムス","","ディースクエアード","","","","","","","","","","","","","","","","","","","ディースクエアード コットン デニムパンツ 44 ブルー Sexy twist jean 2016","ディースクエアード コットン デニムパンツ 44 ブルー Sexy twist jean 2016","","","0.店頭買取","14.NANBOYA心斎橋店_W","谷脇 慎弥","2019-10-21 00:00:00","3500","","1","","","","","8000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","12000","ＡＢ","",""
"","101","YA010289","0382","","3","ボトムス","","ディースクエアード","","","","","","","","","","","","","","","","","","","ディースクエアード コットン デニムパンツ 44 ブルー Glam head jean 2017","ディースクエアード コットン デニムパンツ 44 ブルー Glam head jean 2017","","","0.店頭買取","14.NANBOYA心斎橋店_W","谷脇 慎弥","2019-10-21 00:00:00","3500","","1","","","","","8000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","9000","ＡＢ","",""
"","101","YA010291","0383","","3","ボトムス","","ディースクエアード","","","","","","","","","","","","","","","","","","","ディースクエアード コットン チノパンツ 44 ホワイト カラーブロック","ディースクエアード コットン チノパンツ 44 ホワイト カラーブロック","","","0.店頭買取","14.NANBOYA心斎橋店_W","谷脇 慎弥","2019-10-21 00:00:00","2600","","1","","","","","6000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","5000","ＡＢ","",""
"","101","BZ006747","0384","","3","アウター","","モンクレール","","","","","","","","","","","","","","","","","","","モンクレール ナイロン ダウンジャケット 2 ブラック モンクラー 19年","モンクレール ナイロン ダウンジャケット 2 ブラック モンクラー 19年","","","0.店頭買取","49.NANBOYA新宿東口店_E","大和田 卓椰","2019-10-21 00:00:00","120000","","1","","","","","150000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","150000","Ａ","",""
"","101","DD020030","0385","","3","アウター","","モンクレール","","","","","","","","","","","","","","","","","","","モンクレール ナイロン ダウンジャケット 2 ブラック K2 シミあり","モンクレール ナイロン ダウンジャケット 2 ブラック K2 シミあり","","","0.店頭買取","67.NANBOYA金沢香林坊東急スクエア店_W","鉄尾 仁貴","2019-10-19 00:00:00","5000","","1","","","","","7000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","35000","Ｂ","",""
"","101","HZ016290","0386","","3","トップス","","","","","","","","","","","","","","","","","","","","","ダイアンフォンファステンバーグ コットン×シルク ワンピース 6 ブラック×ホワイト レーヨン使用","ダイアンフォンファステンバーグ コットン×シルク ワンピース 6 ブラック×ホワイト レーヨン使用","","","0.店頭買取","14.NANBOYA心斎橋店_W","加藤 佑樹","2019-10-22 00:00:00","1000","","1","","","","","1000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","4000","ＡＢ","",""
"","101","OZ015802","0387","","3","アウター","","","","","","","","","","","","","","","","","","","","","ミュウミュウ ウール コート 40 ネイビー 2013年","ミュウミュウ ウール コート 40 ネイビー 2013年","","","0.店頭買取","54.NANBOYA神戸元町店_W","江本 豊","2019-10-19 00:00:00","40000","","1","","","","","45000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","25000","Ａ","",""
"","101","A0067377","0388","","3","アウター","","","","","","","","","","","","","","","","","","","","","ラベンハム ウール×ポリエステル キルティングジャケット 34 ネイビー 毛玉あり","ラベンハム ウール×ポリエステル キルティングジャケット 34 ネイビー 毛玉あり","","","0.店頭買取","73.NANBOYA阪神梅田駅前店_W","田中 京介","2019-10-22 00:00:00","1000","","1","","","","","5000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","5000","ＡＢ","",""
"","101","AI009742","0389","","3","アウター","","モンクレール","","","","","","","","","","","","","","","","","","","モンクレール ナイロン ダウンジャケット 2 ホワイト ブレン シミあり","モンクレール ナイロン ダウンジャケット 2 ホワイト ブレン シミあり","","","0.店頭買取","71.NANBOYAマルイシティ横浜店_E","岡 琴香","2019-10-22 00:00:00","35000","","1","","","","","45000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","45000","ＡＢ","",""
"","101","YA010298","0390","","3","トップス","","","","","","","","","","","","","","","","","","","","","ケンゾー コットン セーター M マルチカラー","ケンゾー コットン セーター M マルチカラー","","","0.店頭買取","14.NANBOYA心斎橋店_W","谷脇 慎弥","2019-10-21 00:00:00","500","","1","","","","","1500","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","5000","ＡＢ","",""
"","101","XI005627","0391","","3","アウター","","モンクレール","","","","","","","","","","","","","","","","","","","モンクレール ナイロン ダウンジャケット 1 ブルー ジーンバート","モンクレール ナイロン ダウンジャケット 1 ブルー ジーンバート","","","0.店頭買取","64.NANBOYA難波マルイ店_W","加藤 昂暉","2019-10-22 00:00:00","30000","","1","","","","","50000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","41000","Ｂ","",""
"","101","A0066115","0392","","3","トップス","","エルメス","","","","","","","","","","","","","","","","","","","エルメス コットン 半袖ニット ブラウン セリエボタン ニットポロ","エルメス コットン 半袖ニット ブラウン セリエボタン ニットポロ","","","0.店頭買取","85.NANBOYA町田東急ツインズ店_E","浅見 征耶","2019-10-19 00:00:00","1595","","1","","","","","5000","2019-11-11 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","7","","","","","","","20000","Ｓ","",""
