"商品ID","会員ID／社員記号","管理番号","商品番号","グルーピング","大カテゴリ","中カテゴリ","分類１","分類２","分類３","分類４","分類５","分類６","分類７","分類８","分類９","分類１０","分類１１","分類１２","分類１３","分類１４","分類１５","分類１６","分類１７","分類１８","分類１９","分類２０","商品名","表示商品名","指値","定価","買取方法","買取店舗","買取担当者","買取日","買取価格","買取取引先","出品ステータス","結果ステータス","落札価格","落札日","落札ID","見込価格","出品日","出品場所","目玉ステータス","見込粗利","粗利益率","修繕費","実売粗利","売価予実差異金額","棚（箱）番号","移動先","移動日","移動責任者","移動理由","精算ステータス","精算ステータス変更者","支払ステータス","支払ステータス変更者","配送ステータス","配送ステータス変更者","配送日","一覧-メイン画像","詳細-メイン画像","詳細-メイン拡大画像","登録NO","登録日","更新NO","更新日","サブカテゴリ","スタート値","分類２１","分類２２","分類２３","分類２４","分類２５","ジャンル課見込価格","商品ランク","付属品管理番号１","付属品管理番号２"
"","101","YD010713","0021","","1","腕時計","","ロレックス","デイトジャストレディース","","","","","","","箱;ギャランティ;あまりゴマ","","","","","","","","","","","ロレックス デイトジャスト 179174G V245645  SS×WG AT 黒文字盤 あまりごま3","ロレックス デイトジャスト 179174G V245645  SS×WG AT 黒文字盤 あまりごま3","","","0.店頭買取","02.NANBOYA梅田店_W","松山 雄亮","2019-09-28 00:00:00","520000","","1","","","","","520000","2019-11-12 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","1","","","","","","","420000","ＡＢ","YD010713-1","YD010713-2"
"","101","RI007032","0022","","1","腕時計","","ロレックス","ＧＭＴマスター?","","","","","","","箱;ギャランティ","","","","","","","","","","","ロレックス GMTマスター ? 116710BLNR 1Z157760 SS AT 黒文字盤 あまりごまなし 2018","ロレックス GMTマスター ? 116710BLNR 1Z157760 SS AT 黒文字盤 あまりごまなし 2018","","","0.店頭買取","28.NANBOYA福岡天神店_W","山崎 加津美","2019-09-30 00:00:00","1250000","","1","","","","","1250000","2019-11-12 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","1","","","","","","","1230000","Ａ","RI007032-1","RI007032-2"
"","101","BV007060","0023","","1","腕時計","","ロレックス","ＧＭＴマスター?","","","","","","","箱;ギャランティ;あまりゴマ","","","","","","","","","","","ロレックス GMTマスター ? 16710 U833685 SS AT 黒文字盤 あまりごま3","ロレックス GMTマスター ? 16710 U833685 SS AT 黒文字盤 あまりごま3","","","0.店頭買取","02.NANBOYA梅田店_W","武田 海星","2019-09-30 00:00:00","360000","","1","","","","","830000","2019-11-12 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","1","","","","","","","860000","Ｂ","BV007060-1","BV007060-2"
"","101","BV007059","0024","","1","腕時計","","ロレックス","ＧＭＴマスター?","","","","","","","箱;ギャランティ;あまりゴマ","","","","","","","","","","","ロレックス GMTマスター ? 116710BLNR 981886W3 SS AT 黒文字盤 あまりごま3","ロレックス GMTマスター ? 116710BLNR 981886W3 SS AT 黒文字盤 あまりごま3","","","0.店頭買取","02.NANBOYA梅田店_W","武田 海星","2019-09-30 00:00:00","1270000","","1","","","","","1270000","2019-11-12 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","1","","","","","","","1200000","Ａ","BV007059-1","BV007059-2"
"","101","EF017201","0025","","1","腕時計","","オーデマピゲ","","","","","","","","箱;ギャランティ","","","","","","","","","","","オーデマピゲ ロイヤルオーク 26170ST.OO.D091CR.01  G91290  SS×革 AT 白文字盤 あまりごまなし","オーデマピゲ ロイヤルオーク 26170ST.OO.D091CR.01  G91290  SS×革 AT 白文字盤 あまりごまなし","","","0.店頭買取","73.NANBOYA阪神梅田駅前店_W","河野 良平","2019-10-01 00:00:00","1200000","","1","","","","","1250000","2019-11-12 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","1","","","","","","","1280000","Ａ","EF017201-1",""
"","101","RT010914","0026","","1","腕時計","","ヴァシュロンコンスタンタン","","","","","","","","箱;ギャランティ","","","","","","","","","","","【別展】ヴァシュロンコンスタンタン メルカトール 43050/000J-17 718412　673869 750×革 AT シャンパン文字盤 あまりごまなし","【別展】ヴァシュロンコンスタンタン メルカトール 43050/000J-17 718412　673869 750×革 AT シャンパン文字盤 あまりごまなし","","","0.店頭買取","10.NANBOYA池袋店_E","松屋 良","2019-09-30 00:00:00","1690000","","1","","","","","1700000","2019-11-12 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","1","","","","","","","1800000","ＡＢ","RT010914-1",""
"","101","VR004135","0027","","1","腕時計","","ロレックス","デイトナ","","","","","","","箱;ギャランティ;あまりゴマ","","","","","","","","","","","ロレックス デイトナ 116520 02R2C674 SS AT 白文字盤 あまりごま1 2012","ロレックス デイトナ 116520 02R2C674 SS AT 白文字盤 あまりごま1 2012","","","0.店頭買取","37.NANBOYA広島店_W","金山 淳貴","2019-09-30 00:00:00","1650000","","1","","","","","1700000","2019-11-12 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","1","","","","","","","1650000","Ａ","VR004135-1","VR004135-2"
"","101","YP012640","0028","","1","腕時計","","ロレックス","サブマリーナ","","","","","","","箱;ギャランティ","","","","","","","","","","","ロレックス サブマリーナ 14060 T811016 SS AT 黒文字盤 あまりごまなし","ロレックス サブマリーナ 14060 T811016 SS AT 黒文字盤 あまりごまなし","","","0.店頭買取","24.NANBOYA大宮店_E","前田 博紀","2019-09-30 00:00:00","590000","","1","","","","","590000","2019-11-12 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","1","","","","","","","630000","ＡＢ","YP012640-1","YP012640-2"
"","101","A0058150","0029","","1","腕時計","","ロレックス","デイトナ","","","","","","","箱;ギャランティ","","","","","","","","","","","【別展】ロレックス デイトナ 116500LN 9987V560 SS AT 黒文字盤 あまりごまなし","【別展】ロレックス デイトナ 116500LN 9987V560 SS AT 黒文字盤 あまりごまなし","","","0.店頭買取","77.NANBOYA新橋店_E","日野 拓哉","2019-09-30 00:00:00","2100000","","1","","","","","2100000","2019-11-12 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","1","","","","","","","2050000","Ｓ","A0058150-1","A0058150-2"
"","101","AX005697","0030","","1","腕時計","","ロレックス","サブマリーナ","","","","","","","箱;ギャランティ","","","","","","","","","","","ロレックス サブマリーナ 16610 P327226 SS AT 黒文字盤 あまりごまなし","ロレックス サブマリーナ 16610 P327226 SS AT 黒文字盤 あまりごまなし","","","0.店頭買取","68.NANBOYA博多マルイ店_W","藤野 元気","2019-09-30 00:00:00","680000","","1","","","","","700000","2019-11-12 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","1","","","","","","","660000","ＡＢ","AX005697-1","AX005697-2"
"","101","TW011292","0031","","1","腕時計","","ロレックス","デイトナ","","","","","","","箱;ギャランティ","","","","","","","","","","","ロレックス デイトナ 116500LN 30J815X4 SS AT 白文字盤 あまりごまなし","ロレックス デイトナ 116500LN 30J815X4 SS AT 白文字盤 あまりごまなし","","","0.店頭買取","02.NANBOYA梅田店_W","齋藤 俊宏","2019-10-01 00:00:00","2230000","","1","","","","","2280000","2019-11-12 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","1","","","","","","","2250000","Ａ","TW011292-1","TW011292-2"
"","101","PG026377","0032","","1","腕時計","","ロレックス","デイトナ","","","","","","","箱;ギャランティ","","","","","","","","","","","【別展】ロレックス デイトナ 116520 Ｚ758784 SS AT 白文字盤 あまりごまなし","【別展】ロレックス デイトナ 116520 Ｚ758784 SS AT 白文字盤 あまりごまなし","","","0.店頭買取","06.NANBOYA銀座店_E","深海 孝誕","2019-09-28 00:00:00","1660000","","1","","","","","1660000","2019-11-12 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","1","","","","","","","1800000","ＳＡ","PG026377-1","PG026377-2"
"","101","YY004496","0033","","1","腕時計","","ロレックス","シードゥエラー","","","","","","","箱;ギャランティ;あまりゴマ","","","","","","","","","","","ロレックス シードゥエラー 126600 6T7751W4 SS AT 黒文字盤 あまりごま2","ロレックス シードゥエラー 126600 6T7751W4 SS AT 黒文字盤 あまりごま2","","","0.店頭買取","101.NANBOYA近鉄百貨店草津店_W","安田 優樹","2019-09-27 00:00:00","1200000","","1","","","","","1200000","2019-11-12 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","1","","","","","","","1180000","Ａ","YY004496-1","YY004496-2"
"","101","RT010892","0034","","1","腕時計","","ロレックス","","","","","","","","箱;ギャランティ","","","","","","","","","","","ロレックス サブマリーナ 114060 S3336510 SS AT 黒文字盤 あまりごまなし","ロレックス サブマリーナ 114060 S3336510 SS AT 黒文字盤 あまりごまなし","","","0.店頭買取","10.NANBOYA池袋店_E","松屋 良","2019-09-28 00:00:00","750000","","1","","","","","780000","2019-11-12 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","1","","","","","","","730000","","RT010892-1","RT010892-2"
"","101","AC006712","0035","","1","腕時計","","ロレックス","853","","","","","","","箱;ギャランティ","","","","","","","","","","","ロレックス サブマリーナ 116610LN 79F9G854 SS AT 黒文字盤 あまりごまなし","ロレックス サブマリーナ 116610LN 79F9G854 SS AT 黒文字盤 あまりごまなし","","","0.店頭買取","11.NANBOYA横浜店_E","松本 拓","2019-09-30 00:00:00","885000","","1","","","","","900000","2019-11-12 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","1","","","","","","","900000","Ｓ","AC006712-1","AC006712-2"
"","101","XB005083","0036","","1","腕時計","","ロレックス","スカイドゥエラー","","","","","","","箱;ギャランティ","","","","","","","","","","","【別展】ロレックス スカイドゥエラー 326135 7Q525453 750×革 AT チョコレート文字盤 あまりごまなし 2013","【別展】ロレックス スカイドゥエラー 326135 7Q525453 750×革 AT チョコレート文字盤 あまりごまなし 2013","","","0.店頭買取","30.NANBOYA札幌店_E","阿部 紘子","2019-10-02 00:00:00","2180000","","1","","","","","2400000","2019-11-12 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","1","","","","","","","2450000","ＡＢ","XB005083-1","XB005083-2"
"","101","FH022458","0037","","1","腕時計","","オーデマピゲ","","","","","","","","箱;ギャランティ;替えベルト;あまりゴマ","","","","","","","","","","","オーデマピゲ ロイヤルオーク 26320ST.OO.1220ST.02 I98325-7948　988565　 SS AT シルバー文字盤 あまりごま3 替えベルト2","オーデマピゲ ロイヤルオーク 26320ST.OO.1220ST.02 I98325-7948　988565　 SS AT シルバー文字盤 あまりごま3 替えベルト2","","","0.店頭買取","06.NANBOYA銀座店_E","石川 直人","2019-10-02 00:00:00","2000000","","1","","","","","2000000","2019-11-12 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","1","","","","","","","1950000","ＡＢ","FH022458-1",""
"","101","RT010911","0038","","1","腕時計","","ロレックス","ヨットマスター","","","","","","","箱;ギャランティ","","","","","","","","","","","ロレックス ヨットマスター 16628 A682282　 750 AT 白文字盤 あまりごまなし","ロレックス ヨットマスター 16628 A682282　 750 AT 白文字盤 あまりごまなし","","","0.店頭買取","10.NANBOYA池袋店_E","松屋 良","2019-09-30 00:00:00","1420000","","1","","","","","1420000","2019-11-12 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","1","","","","","","","1450000","ＡＢ","RT010911-1","RT010911-2"
"","101","A0058077","0039","","1","腕時計","","ロレックス","","","","","","","","箱;ギャランティ;あまりゴマ","","","","","","","","","","","ロレックス デイトジャスト 116234 77W1A760 SS×WG AT 黒文字盤 あまりごま1 2017","ロレックス デイトジャスト 116234 77W1A760 SS×WG AT 黒文字盤 あまりごま1 2017","","","0.店頭買取","100.NANBOYA東急プラザ蒲田店_E","浅見 征耶","2019-09-30 00:00:00","550000","","1","","","","","580000","2019-11-12 00:00:00","東京","","","","","","","","","","","","","","","","","","","","","","IM","","IM","","1","","","","","","","560000","ＡＢ","A0058077-1","A0058077-2"
